Address,Sale Price,Sale Date
"51 ST LOUIS AVE, Buffalo",$1,5/15/1987
"1343 SYCAMORE, Buffalo","$38,000",2/16/1987
"56 NORWOOD, Buffalo","$98,000",9/26/1986
"272 SYCAMORE, Buffalo","$67,183",6/19/1986
"155 AVERY, Buffalo","$57,000",4/1/1988
"15 HOFFMAN, Buffalo",$0,11/6/1987
"221 ROSS, Buffalo","$58,000",2/1/1989
"102 ELGAS, Buffalo","$49,000",9/1/1988
"656 GRANT, Buffalo","$350,000",8/1/1988
"162 BARTON, Buffalo","$61,000",6/1/1990
"41 ARMIN, Buffalo","$43,000",6/1/1990
"77 GORSKI, Buffalo","$60,000",6/1/1990
"186 MINNESOTA, Buffalo","$90,000",6/1/1990
"18 KRAKOW, Buffalo","$72,000",6/1/1990
"115 SELKIRK, Buffalo","$32,000",6/1/1990
"317 IDEAL, Buffalo","$34,500",6/1/1990
"69 CONNELLY, Buffalo","$45,000",6/1/1990
"258 SCHILLER, Buffalo","$1,100",6/1/1990
"32 HOUGHTON, Buffalo","$24,900",6/1/1990
"35 DORRIS, Buffalo","$35,000",6/1/1990
"60 ASHLEY, Buffalo","$15,000",6/1/1990
"344 CAMBRIDGE, Buffalo","$34,000",6/1/1990
"120 FENTON, Buffalo","$55,000",6/1/1990
"223 CAMBRIDGE, Buffalo","$39,000",6/1/1990
"392 NORFOLK, Buffalo","$10,000",6/1/1990
"426 WILLIAM, Buffalo","$8,000",6/1/1990
"582 SPRING, Buffalo","$15,500",6/1/1990
"338 SYCAMORE, Buffalo","$69,483",6/1/1990
"155 JOHNSON ST, Buffalo","$8,000",6/1/1990
"11 MOHAWK EAST, Buffalo","$355,000",6/1/1990
"24 OBERLIN, Buffalo","$27,000",6/1/1990
"49 HARMONIA, Buffalo","$20,000",6/1/1990
"374 BRYANT, Buffalo","$80,000",6/1/1990
"153 MASTEN, Buffalo","$48,900",6/1/1990
"56 DOAT, Buffalo","$19,900",6/1/1990
"108 HOMER, Buffalo","$80,000",6/1/1990
"124 CARL, Buffalo","$9,000",6/1/1990
"23 ZENNER, Buffalo","$22,500",6/1/1990
"381 MAY, Buffalo","$25,000",6/1/1990
"164 WOODSIDE WEST, Buffalo","$63,000",6/1/1990
"48 GEARY, Buffalo","$62,700",6/1/1990
"89 TILLINGHAST, Buffalo","$227,500",6/1/1990
"18 OAKWOOD EAST, Buffalo","$35,000",6/1/1990
"1639 JEFFERSON, Buffalo","$1,500",6/1/1990
"342 LAFAYETTE AVE, Buffalo","$79,350",6/1/1990
"62 BEYER, Buffalo","$103,000",6/1/1990
"146 CANTWELL, Buffalo","$62,800",6/1/1990
"55 WHITEHALL, Buffalo","$88,500",6/1/1990
"109 FAIRFIELD, Buffalo","$65,000",6/1/1990
"34 BOYD, Buffalo","$25,000",5/1/1990
"30 BOYD, Buffalo","$40,000",5/1/1990
"270 BUSTI, Buffalo","$15,000",5/1/1990
"771 PROSPECT, Buffalo","$65,000",5/1/1990
"358 GIBSON, Buffalo","$37,500",5/1/1990
"762 SYCAMORE, Buffalo","$13,500",5/1/1990
"20 ONEIDA, Buffalo","$10,000",5/1/1990
"90 HIGHLAND, Buffalo","$158,000",5/1/1990
"1119 DELAWARE, Buffalo","$190,000",5/1/1990
"101 HALLAM, Buffalo","$275,000",5/1/1990
"47 HOWLETT, Buffalo","$27,000",5/1/1990
"51 MILITARY, Buffalo","$90,000",5/1/1990
"48 FREUND, Buffalo","$64,000",5/1/1990
"714 PARKSIDE, Buffalo","$90,000",5/1/1990
"791 BEST, Buffalo","$18,900",5/1/1990
"149 KINGSLEY, Buffalo","$33,000",5/1/1990
"655 FERRY EAST, Buffalo","$25,500",5/1/1990
"28 MINNETONKA, Buffalo","$89,000",5/1/1990
"522 UTICA EAST, Buffalo","$32,000",5/1/1990
"232 LOEPERE, Buffalo","$24,500",5/1/1990
"631 UTICA EAST, Buffalo","$32,000",5/1/1990
"1367 FILLMORE, Buffalo","$85,000",5/1/1990
"257 PARKER, Buffalo","$125,000",5/1/1990
"869 BROADWAY, Buffalo","$400,000",5/1/1990
"317 VIRGINIA ST, Buffalo","$98,125",5/1/1990
"20 BARTHEL, Buffalo","$16,000",5/1/1990
"168 REBECCA PARK, Buffalo","$69,000",5/1/1990
"282 BERKSHIRE, Buffalo","$40,000",5/1/1990
"28 MONTGOMERY, Buffalo","$2,000",5/1/1990
"285 OGDEN SOUTH, Buffalo","$59,900",5/1/1990
"828 KENSINGTON, Buffalo","$300,000",5/1/1990
"100 PORTLAND, Buffalo","$75,000",5/1/1990
"121 LAIRD, Buffalo","$57,000",5/1/1990
"12 VIOLA, Buffalo","$12,000",5/1/1990
"16 ROANOKE, Buffalo","$40,000",5/1/1990
"460 CORNWALL, Buffalo","$50,000",5/1/1990
"1799 SENECA, Buffalo","$6,200",5/1/1990
"651 MCKINLEY PKWY, Buffalo","$75,500",5/1/1990
"87 HAYDEN, Buffalo","$56,900",5/1/1990
"35 JANET, Buffalo","$78,000",5/1/1990
"74 KIMMEL, Buffalo","$25,000",5/1/1990
"33 LAUX, Buffalo","$35,000",5/1/1990
"66 HENRIETTA, Buffalo","$52,000",5/1/1990
"143 GLENWOOD, Buffalo","$3,000",4/1/1990
"23 WEX, Buffalo","$50,000",4/1/1990
"210 JEWETT AVE, Buffalo","$24,000",4/1/1990
"6 OBERLIN, Buffalo","$29,000",4/1/1990
"254 FENTON, Buffalo","$49,000",4/1/1990
"359 HAMPSHIRE, Buffalo","$51,000",4/1/1990
"126 ROOSEVELT, Buffalo","$52,522",4/1/1990
"317 WOODSIDE, Buffalo","$56,000",4/1/1990
"340 NORTHLAND, Buffalo","$28,000",4/1/1990
"116 FREDRO, Buffalo","$25,000",4/1/1990
"81 HARMONIA, Buffalo","$21,000",4/1/1990
"59 ST LOUIS AVE, Buffalo","$21,000",4/1/1990
"46 ASHLAND, Buffalo","$152,500",4/1/1990
"35 ALDEN, Buffalo","$78,000",4/1/1990
"42 HILLERY, Buffalo","$5,800",4/1/1990
"277 MOSELLE, Buffalo","$10,000",4/1/1990
