Address,SBL #,Sale Price,Sale Date,Total Assessed Value,Property Type Building Style,Lot Size,Year Built,SQFT,Bedrooms-Baths-Fireplaces
"272 SYCAMORE, Buffalo",111.40-4-11.11,"$67,183 ",6/19/1986,"$72,000 ",Residential - 1 Family Res,65.34 x 92.75,1986,"1,536",3 / 1.5 / 0
"56 NORWOOD, Buffalo",100.61-2-1.1,"$98,000 ",9/26/1986,"$130,000 ",Residential - 1 Family Res,84 x 153,1891,"3,563",3/2/2000
"1343 SYCAMORE, Buffalo",101.71-6-1.1,"$38,000 ",2/16/1987,"$45,000 ",Commercial - Det row bldg,105.31 x 0,,,
"51 ST LOUIS AVE, Buffalo",101.63-1-13,$1 ,5/15/1987,"$1,400 ",Vacant Land - Res vac land,30 x 108,,,
"15 HOFFMAN, Buffalo",88.33-4-23,$0 ,11/6/1987,"$34,500 ",Residential - 1 Family Res,37.5 x 100,1900,"1,302",4 / 1.5 / 0
"155 AVERY, Buffalo",78.46-2-21.1,"$57,000 ",4/1/1988,"$90,000 ",Residential - 1 Family Res,69 x 105,1926,"1,372",3/1/2001
"656 GRANT, Buffalo",88.51-2-4,"$350,000 ",8/1/1988,"$3,000,000 ",Commercial - Inn/lodge,186 x 180,,,
"102 ELGAS, Buffalo",77.25-1-7,"$49,000 ",9/1/1988,"$55,400 ",Residential - 1 Family Res,45 x 0,1947,"1,174",3/1/2000
"221 ROSS, Buffalo",77.48-2-1.1,"$58,000 ",2/1/1989,"$50,500 ",Residential - 2 Family Res,30 x 210,1926,"2,142",6/2/2000
"765 BUSTI, Buffalo",99.66-8-15.1,"$273,104 ",7/1/1989,"$25,500 ",Vacant Land - Vacant comm,100 x 132,,,
"80 SWINBURNE, Buffalo",112.31-5-3,"$45,000 ",9/1/1989,"$3,500 ",Vacant Land - Res vac land,30 x 115,,,
"259 BISSELL, Buffalo",101.47-2-19,"$8,900 ",9/1/1989,"$2,200 ",Vacant Land - Res vac land,30 x 105,,,
"413 PRATT, Buffalo",111.40-5-31,"$1,200 ",9/1/1989,"$1,400 ",Vacant Land - Res vac land,25 x 132,,,
"318 DODGE, Buffalo",100.65-1-51,"$1,300 ",10/1/1989,"$1,800 ",Vacant Land - Res vac land,35 x 142,,,
"464 OHIO, Buffalo",122.55-1-16,"$1,000 ",10/1/1989,"$2,100 ",Vacant Land - Res vac land,34 x 65,,,
"144 BURGARD, Buffalo",101.56-3-15,"$31,500 ",10/1/1989,"$1,500 ",Vacant Land - Res vac land,30 x 113,,,
"157 AUBURN, Buffalo",99.26-7-7.1,"$58,000 ",10/1/1989,"$42,000 ",Residential - 2 Family Res,62 x 122,1880,"2,793",5/2/2000
"16 WILBURY, Buffalo",78.63-5-1./A,"$79,720 ",11/1/1989,"$94,000 ",Residential - 1 Family Res,60 x 50,1945,"1,716",3 / 1.5 / 1
"313 SYCAMORE, Buffalo",111.41-7-8.1,"$80,940 ",11/1/1989,"$68,000 ",Residential - 1 Family Res,53.1 x 107,1989,"1,232",3 / 1.5 / 0
"43 WISCONSIN, Buffalo",101.59-3-45,"$55,000 ",12/1/1989,"$6,000 ",Vacant Land - Vac w/imprv,30 x 100,,,
"409 SWAN, Buffalo",111.72-2-11.1,"$18,000 ",12/1/1989,"$22,200 ",Residential - 3 Family Res,50 x 100,1900,"2,924",7/3/2000
"41 LANG, Buffalo",101.25-8-10,"$32,900 ",12/1/1989,"$29,000 ",Residential - 1 Family Res,30 x 115,1908,"1,353",3/1/2000
"259 DETROIT, Buffalo",111.44-1-42,"$9,500 ",12/1/1989,"$1,800 ",Vacant Land - Res vac land,30 x 118,,,
"85 ECKHERT, Buffalo",77.32-4-29,"$63,500 ",12/1/1989,"$45,000 ",Residential - 2 Family Res,30 x 0,1914,"1,600",4/2/2000
"57 WISCONSIN, Buffalo",101.59-3-52,"$65,000 ",12/1/1989,"$6,000 ",Vacant Land - Vac w/imprv,30 x 100,,,
"14 AUDREY, Buffalo",101.25-7-19,"$55,000 ",12/1/1989,"$45,000 ",Residential - 1 Family Res,47 x 120,1910,"2,017",4/1/2001
"113 WENDE, Buffalo",101.33-8-22,"$28,500 ",12/1/1989,"$16,000 ",Residential - 2 Family Res,30 x 106,1900,"1,380",4/2/2000
"599 HIGHGATE, Buffalo",79.66-3-11,"$78,500 ",12/1/1989,"$59,000 ",Residential - 2 Family Res,34 x 110,1929,"2,248",5/2/2000
"144 TOWNSEND, Buffalo",111.52-1-10,"$25,000 ",12/1/1989,"$24,500 ",Residential - 2 Family Res,30 x 100,1901,"2,209",5/2/2000
"133 ASHLEY, Buffalo",112.31-10-5,"$25,000 ",12/1/1989,"$2,800 ",Vacant Land - Res vac land,24.75 x 110,,,
"601 CRESCENT, Buffalo",78.82-5-31,"$93,000 ",12/1/1989,"$129,000 ",Residential - 2 Family Res,40 x 140,1920,"2,856",6/2/2000
"315 WELLINGTON, Buffalo",78.50-4-14,"$81,500 ",12/1/1989,"$130,000 ",Residential - 2 Family Res,37 x 134,1922,"2,668",6/2/2000
"732 CRESCENT, Buffalo",78.81-3-10,"$97,000 ",12/1/1989,"$155,000 ",Residential - 1 Family Res,50 x 140,1907,"2,002",3/1/2001
"14 TENNYSON, Buffalo",78.63-2-22,"$75,500 ",12/1/1989,"$100,000 ",Residential - 1 Family Res,36 x 130,1920,"1,554",3/1/2000
"34 GUERNSEY, Buffalo",88.25-6-14,"$26,500 ",12/1/1989,"$30,000 ",Residential - 1 Family Res,33 x 105.1,1900,"1,464",2/1/2000
"262 IDEAL, Buffalo",112.42-2-5,"$60,000 ",12/1/1989,"$62,300 ",Residential - 1 Family Res,60 x 115,1900,"1,793",4 / 1.5 / 0
"1247 BROADWAY, Buffalo",112.30-4-2,"$40,000 ",12/1/1989,"$67,000 ",Commercial - Det row bldg,63.67 x 164,,,
"41 CUSHING, Buffalo",133.74-2-9,"$70,000 ",12/1/1989,"$97,100 ",Residential - 1 Family Res,34 x 124,1947,"1,794",3 / 1.5 / 0
"1141 FERRY EAST, Buffalo",101.39-3-4,"$22,000 ",12/1/1989,"$2,600 ",Vacant Land - Res vac land,35.04 x 122,,,
"53 WECKER, Buffalo",90.80-3-2,"$35,000 ",12/1/1989,"$18,000 ",Residential - 1 Family Res,30 x 142,1910,"1,261",3/1/2000
